,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
CEBPZ,0,0.299730611594482,0,0.315596343600596,0.317,0.353,0.898016997167139,0.0164161529761487
SOX4,0,0.291296822456557,1.12730333272724e-277,0.229369466289661,0.32,0.206,1.55339805825243,0.0205655967317143
NOTCH1,0,0.329111972085225,0,0.345232968133072,0.145,0.168,0.863095238095238,0.0224869416655579
ELF1,1.25657455498846e-284,0.232245632788653,1.62227602432301e-288,0.233839002076529,0.428,0.343,1.24781341107872,0.02783203125
GABPB1,9.08375656192511e-274,0.227737684831882,6.36008383891561e-294,0.235650515586931,0.216,0.136,1.58823529411765,0.02783203125
CTNNB1,7.55938044341074e-268,0.225242075583836,0,0.243374091304005,0.583,0.498,1.17068273092369,0.02783203125
PBX1,0,0.325659977576381,0,0.345040293512285,0.259,0.205,1.26341463414634,0.0300166291067858
NFKBIB,0,0.273524598694611,0,0.272250485775184,0.169,0.171,0.988304093567251,0.0343858029260081
RBPJ,0,0.425532492326906,0,0.328249703502728,0.371,0.33,1.12424242424242,0.0343858029260081
TSC22D1,1.61251566204203e-271,0.226792770613089,1.19912330441423e-275,0.228024285518772,0.795,0.725,1.09655172413793,0.0372862487332402
NFAT5,2.3025273734352e-262,0.222905585585448,2.49431106250475e-232,0.209647897337796,0.422,0.318,1.32704402515723,0.0413130509969192
TCF12,3.21333002330503e-154,0.170418073543523,1.65704206703677e-165,0.176625188181891,0.392,0.191,2.05235602094241,0.0444296312797265
NR3C1,9.67290952196521e-195,0.191771526883754,2.4444063112891e-163,0.175449537898851,0.507,0.346,1.46531791907514,0.0477397204057654
ZNF148,0,0.257216295665441,0,0.307506540857534,0.367,0.285,1.28771929824561,0.0501880315404437
ARID1A,0,0.24782139789648,0,0.24921524577346,0.322,0.248,1.29838709677419,0.0512528133000996
THRB,1.10335508377846e-184,0.186699176212208,4.22379565402095e-266,0.224500258660751,0.295,0.163,1.80981595092025,0.0512528133000996
PBRM1,1.88092957099162e-287,0.233404055541344,0,0.271365111182188,0.391,0.319,1.22570532915361,0.0583400280291654
TFDP1,0,0.326020638726223,4.38847455545046e-248,0.216700483811878,0.169,0.112,1.50892857142857,0.0747460317903303
NFKB2,2.57162236719981e-230,0.208729169422601,0,0.257259995417683,0.179,0.078,2.29487179487179,0.0747460317903303
SMAD4,0,0.315635102684697,0,0.253896315351868,0.24,0.2,1.2,0.078408181436993
FOXO3,1.39746628183299e-268,0.22555262097489,0,0.272985627459136,0.368,0.325,1.13230769230769,0.0874965126137337
NCOA3,2.56491262439871e-119,0.149610106563655,2.85607761579753e-171,0.179712160333831,0.277,0.195,1.42051282051282,0.0998954681571994
