,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,nonLAM.pct,pct.fc,Score
PBX2,1.42312086602783e-26,0.271121471790973,6.83369337791426e-24,0.255855983938857,0.13,0.109,1.19266055045872,1
ZEB1,1.49126732916261e-26,0.27100965321358,1.92270673264676e-14,0.19344418059699,0.57,0.803,0.709838107098381,1
RARB,1.52848250018784e-26,0.270950708569455,3.33594267473377e-07,0.127086219368858,0.724,0.135,5.36296296296296,1
FOSL2,8.00819663545625e-26,0.266960880730898,3.42021768465211e-07,0.126956580317659,0.62,0.363,1.70798898071625,1
NFE2L2,5.99891944375401e-24,0.256276429623032,0.000863746584518283,0.0801141920295091,0.82,0.645,1.27131782945736,1
DOT1L,7.70592035170423e-23,0.249745911376238,8.38403396437958e-22,0.243299991422673,0.182,0.171,1.06432748538012,1
YAP1,2.48137268111765e-22,0.246698022867389,0.00263942886442138,0.0708806408164049,0.937,0.681,1.37591776798825,1
ARNTL,2.92945077745437e-21,0.240139696848283,2.76077165100582e-05,0.103096532527456,0.165,0.108,1.52777777777778,1
ESR1,1.88969040721785e-19,0.228653128589797,0.0119462265341317,0.0577526306740095,0.954,0.906,1.05298013245033,1
ERG,4.92696332595614e-19,0.225930708514622,2.15212297253414e-19,0.228285556838891,0.156,0.277,0.563176895306859,1
TADA2A,1.50315110841067e-18,0.222721064935848,9.76136134590421e-25,0.234573834139563,0.224,0.196,1.14285714285714,1
YBX3,7.14674207825097e-18,0.218157652836021,3.87952095799542e-06,0.114305610550974,0.33,0.271,1.21771217712177,1
RORB,3.11152748297216e-17,0.213765003957712,4.82348145504057e-22,0.186374739889623,0.135,0.203,0.665024630541872,1
ATF3,4.63617390538043e-15,0.198116278004091,1.62967825331098e-05,0.106220011177941,0.219,0.211,1.03791469194313,1
MXI1,4.35838166405213e-13,0.182789495555261,2.42246357731204e-08,0.127294777661194,0.462,0.211,2.18957345971564,1
PGR,2.49027856765121e-12,0.17657015019722,1.2773097537362e-09,0.152327255964278,0.889,0.879,1.01137656427759,1
NR6A1,7.76948821151246e-11,0.163629548773853,0.00206826859656333,0.0673100836857283,0.466,0.241,1.93360995850622,1
NFKBIB,1.73179790944696e-10,0.16047140832267,1.52149430482788e-05,0.106065501795168,0.111,0.034,3.26470588235294,1
NFIA,1.53481777785384e-09,0.151557842320531,1.06336348936662e-19,0.230271462606575,0.937,0.765,1.22483660130719,1
NR1H2,3.26504363732132e-09,0.148355640258291,0.00186701946436189,0.0741175046793431,0.16,0.165,0.96969696969697,1
CREBBP,5.71951991020459e-09,0.145934405773364,0.0392648993458751,0.0449751551262453,0.796,0.692,1.15028901734104,1
ZNF236,8.96569786615928e-09,0.143965145503189,6.06169870011727e-19,0.220413998980904,0.412,0.297,1.38720538720539,1
ENO1,1.44642775482292e-08,0.141841571679625,0.00131502699844872,0.0766482077890745,0.252,0.205,1.22926829268293,1
SUPT20H,1.67504695292629e-08,0.141183976613272,3.70568191005372e-06,0.106372366437507,0.375,0.313,1.19808306709265,1
ZBTB16,1.98297029972087e-08,0.140424158609267,1.21721278894667e-18,0.223331660950407,0.881,0.419,2.10262529832936,1
TGIF1,2.87068382892743e-08,0.138744725825156,4.66121248904522e-30,0.268561198444488,0.108,0.098,1.10204081632653,1
XBP1,8.76478929552943e-08,0.133557597142144,6.37202521987463e-16,0.204461737484446,0.273,0.167,1.63473053892216,1
MXD1,2.67804915065742e-07,0.128170722489007,3.69202613158397e-17,0.213079601119047,0.193,0.109,1.77064220183486,1
DMTF1,6.35593483571512e-07,0.123852684605421,6.32829526299381e-07,0.121352922538121,0.596,0.481,1.23908523908524,1
IRF2,1.3425497744176e-06,0.120000720652128,3.99285342765257e-09,0.147490857705279,0.391,0.236,1.65677966101695,1
KAT7,2.33449173219068e-06,0.11707561716609,3.50563134767567e-08,0.137829615120848,0.306,0.186,1.64516129032258,1
APEX1,2.85193550817835e-06,0.116000318026917,1.6014215370387e-10,0.160781797893894,0.217,0.138,1.57246376811594,1
RUNX1,3.19080609540158e-06,0.115393246941243,1.87808152007316e-09,0.150707942800587,0.267,0.194,1.37628865979381,1
KLF6,1.25411137906728e-05,0.107741605479776,0.000240737512328245,0.0892513951864354,0.664,0.363,1.82920110192837,1
CEBPZ,1.47137236526457e-05,0.106815919988814,2.9334216968788e-07,0.127700731971066,0.288,0.235,1.22553191489362,1
NCOA2,1.71864602999937e-05,0.105908838289188,2.44246304307216e-06,0.116833572049351,0.911,0.661,1.37821482602118,1
