,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,nonLAM.pct,pct.fc,Score
MAZ,5.46269457928506e-22,0.252873001366589,1.96305181764346e-32,0.311834495964472,0.209,0.157,1.3312101910828,0.343082284764689
BACH2,9.49199007277639e-45,0.3696454886018,2.18604729427494e-21,0.246630014686196,0.155,0.074,2.09459459459459,0.343232335465626
ZBTB16,8.21701448632236e-19,0.232037208360949,8.82031272680097e-34,0.318679204384245,0.497,0.428,1.16121495327103,0.372683766278436
HMGA1,2.15620732236313e-66,0.453847802036827,7.03678417497789e-43,0.361459803280354,0.195,0.149,1.30872483221477,0.39077849649829
MAX,2.08722624496493e-13,0.19160966994269,4.93124305368401e-12,0.179946606630881,0.346,0.27,1.28148148148148,0.404383692353162
MEF2D,2.46835272271807e-13,0.191008364655764,4.47725395042717e-16,0.212505432101696,0.19,0.133,1.42857142857143,0.438299419412909
NFIX,3.08952996581404e-21,0.248093168326542,6.51672252706819e-24,0.263902900778745,0.323,0.291,1.10996563573883,0.554588591178909
LRRFIP1,0.0101998608156999,0.0612882665145782,6.35382638285934e-05,0.100630633950995,0.607,0.631,0.961965134706815,0.594542923790727
PHF5A,1.7521203087712e-21,0.249667722998316,3.36580837926209e-09,0.126717475948309,0.217,0.186,1.16666666666667,0.598640179952426
HES1,2.40222077916124e-51,0.397188925113311,7.66634316494725e-36,0.32885574066173,0.222,0.324,0.685185185185185,0.617998467697455
CEBPB,8.00516134518902e-32,0.308715735593504,6.77998780890348e-15,0.203520418351477,0.573,0.557,1.02872531418312,0.706004949722584
HOXD10,1.452438096283e-14,0.200931645784699,6.01358505939419e-07,0.0970813658557713,0.234,0.001,234,0.872874171302305
KLF9,1.67398747573902e-10,0.166024705208925,2.4721194561984e-08,0.144129300990803,0.41,0.358,1.14525139664804,0.928788585239092
TFCP2,8.5646703452401e-56,0.414737710956593,5.44222547718004e-23,0.259101412211094,0.13,0.146,0.89041095890411,1
NR3C2,3.65312076197149e-32,0.310473164949113,4.78057385748575e-34,0.320015287969584,0.104,0.215,0.483720930232558,1
SNAI2,1.95793062355838e-26,0.279478951347734,0.00226002795452119,0.0749794532770539,0.172,0.039,4.41025641025641,1
NCOR2,5.54149563258913e-26,0.276889502045719,6.4578253228447e-08,0.139549781581099,0.308,0.338,0.911242603550296,1
ATF5,2.38932675488757e-25,0.273211602198786,0.00303590835839787,0.0725199371406666,0.135,0.084,1.60714285714286,1
ATF2,1.2564293958462e-19,0.237555880110835,6.54808892896894e-05,0.101084254786444,0.219,0.198,1.10606060606061,1
HDAC1,1.63400011830068e-19,0.236791273405409,3.67066030796562e-17,0.209559603612225,0.178,0.176,1.01136363636364,1
ESR1,1.52309523500079e-18,0.230195499439976,0.00136812553726619,0.0791811461979244,0.474,0.047,10.0851063829787,1
SREBF1,1.50915661819041e-16,0.215999312020546,1.69870967307194e-09,0.156229847605471,0.141,0.121,1.16528925619835,1
EP300,1.54444910032958e-15,0.208458086871565,4.89737687289395e-05,0.102960164865197,0.197,0.24,0.820833333333333,1
