,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM1.pct,LAM2.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
NR4A1,9.65634706156928e-05,0.262630034675914,0.000484867627833067,0.232435316084289,8.06379981915638e-70,0.798625169601699,7.85333887705275e-59,0.730925477676745,0.712,0.374,0.403,1.90374331550802,1.76674937965261,0.00866565747133825
CXXC1,5.23572560667928e-08,0.374659909309149,9.21897368738989e-06,0.301733795678848,5.40953956588495e-46,0.642940527880082,2.71902601221604e-34,0.549536807656402,0.166,0.104,0.088,1.59615384615385,1.88636363636364,0.0104504264127794
SMAD1,3.94356055495989e-07,0.347879434515871,4.47088615466876e-06,0.312883435582822,1.89065008587471e-39,0.593146579675932,2.54863674177349e-32,0.533694821217134,0.141,0.087,0.155,1.62068965517241,0.909677419354839,0.0196974853065104
MEF2D,6.07978502000909e-08,0.372739397172579,1.41026160797963e-07,0.361749799946652,1.24026269691324e-29,0.509516051308409,9.86647971825002e-22,0.43078075706373,0.282,0.226,0.133,1.24778761061947,2.1203007518797,0.0263488619036772
TFCP2,7.09951124480521e-12,0.475913576953854,1.09303159310642e-07,0.36511069618565,3.88218807347627e-49,0.665555013268884,2.22636392374795e-39,0.592583708734881,0.147,0.139,0.146,1.05755395683453,1.00684931506849,0.0275910727029641
GATA6,7.63336759744456e-18,0.600533475593492,3.50251178800952e-15,0.548359562550013,2.72094763875841e-05,0.182880763912584,9.24195549378248e-23,0.441809263723469,0.564,0.235,0.202,2.4,2.79207920792079,0.0302605985
MAX,0.000149740498201476,0.254734595892238,0.00130365135314072,0.212109895972259,4.75319585548835e-16,0.364016303975606,3.76267457554004e-12,0.310283801718877,0.552,0.357,0.27,1.54621848739496,2.04444444444444,0.0595378816429839
TCF7L2,0.000262856055213372,0.244278474259803,0.00183881157272095,0.204641237663377,2.07893534019219e-17,0.381022441412987,6.06407761785895e-13,0.321911428886987,0.503,0.278,0.276,1.80935251798561,1.82246376811594,0.0595378816429839
KLF15,2.35141834197358e-06,0.322485996265671,0.000400860168728214,0.23616964523873,2.8778994420732e-25,0.467622503484586,6.99014932499986e-24,0.453337397398299,0.166,0.017,0.044,9.76470588235294,3.77272727272727,0.064453125
SIRT1,2.88035616911135e-18,0.608428914377167,2.34059832425333e-12,0.487116564417178,1.13384269660255e-13,0.332246874670283,2.20292891628596e-12,0.313736920076337,0.202,0.096,0.101,2.10416666666667,2,0.073170522820944
NFATC4,0.0171026106226687,0.1492131234996,0.00170134344134338,0.20634835956255,4.19463296928352e-73,0.817776664410452,4.19926995422171e-70,0.800293729472718,0.184,0.122,0.033,1.50819672131148,5.57575757575758,0.073170522820944
