Goblet	Secretory	Basal	RAS	AT2	AT1	Ciliated	CAP1	CAP2	AEC	VEC	SVEC	LEC	Mesothelial	AF2	AF1	Pericyte	SMC	LAMCORE-3	LAMCORE-2	LAMCORE-1
-0.196025963898463	-0.123340058689206	-0.212347200542281	-0.364519636585473	-0.507036905887901	-0.408952508316425	-0.245912298935213	0.465077524129795	0.446032286228482	0.618908043091209	0.734767594807833	1	0.57800872796415	0.262695547450162	0.26387129137888	-0.0639135144905775	0.188496410518045	0.204452585092686	-0.00134294652519402	0.0292411027621119	-0.0387813831243556
-0.165133500402523	-0.18738179918759	-0.083070351511123	-0.327149550690679	-0.560346076626989	-0.179602993936007	-0.114824358630016	0.359532465147066	0.355098498383789	0.426202099567024	0.433008711149313	0.57800872796415	1	0.234339946165078	0.270009263180817	0.0455591077931893	0.239206724403868	0.25077429387118	0.0806335476547462	0.169075054745997	0.0698870196064689
0.0597516771065739	0.0635839929237123	-0.00259695441613094	-0.204851054299822	-0.220216055858245	-0.281732377371821	-0.306550571816682	-0.0897146056636072	-0.124345093359888	0.0634169832052761	0.235721713524546	0.262695547450162	0.234339946165078	1	0.733165340124642	0.238210167441808	0.115263545766132	0.241097966032927	0.0748506613774978	0.361816938561659	0.301207529720436
-0.0931177801285219	-0.0672973312829778	-0.0694153713950186	-0.296247126504228	-0.36830442154296	-0.293026895412867	-0.328238468347583	-0.0454651893703564	-0.0858590443852184	0.0968900439197026	0.251969324449917	0.26387129137888	0.270009263180817	0.733165340124642	1	0.550918647843742	0.333092585422138	0.405806199745665	0.244174046108425	0.570002077805231	0.453769910560988
-0.152192004863669	-0.235779797389736	0.142108836222135	-0.274761235861991	-0.403754578412813	0.0750610832851059	-0.117804872102839	0.0169371168201726	-0.0547739612312173	0.0795561178429783	0.0818505831131672	-0.0639135144905775	0.0455591077931893	0.238210167441808	0.550918647843742	1	0.462083350054237	0.340366410179247	0.293254108539847	0.577437334776219	0.445690064395073
-0.237974267932554	-0.248389235565277	-0.00410807035679774	-0.316640790027615	-0.564084312170155	-0.0510781569131608	0.0242499650683444	0.187605117564277	0.200433108662241	0.188192519939177	0.182435206764984	0.188496410518045	0.239206724403868	0.115263545766132	0.333092585422138	0.462083350054237	1	0.794250405902031	0.566030530745274	0.479597771451583	0.436659447027308
-0.168742292659222	-0.161792576185958	-0.0766089764026555	-0.285927245147593	-0.49835150255179	-0.148386687135986	-0.0632447962581379	0.0612374886384065	0.0922099236961947	0.121143718462247	0.182580532155427	0.204452585092686	0.25077429387118	0.241097966032927	0.405806199745665	0.340366410179247	0.794250405902031	1	0.684411171474373	0.380996294072637	0.571420852510609
-0.141743212344759	-0.111950592672615	-0.0206579811859609	-0.156026286864304	-0.366934052509777	0.0469995192368512	0.109768778747628	-0.0209054132207077	0.0302465120830159	-0.049669572868343	0.00252675546580709	-0.00134294652519402	0.0806335476547462	0.0748506613774978	0.244174046108425	0.293254108539847	0.566030530745274	0.684411171474373	1	0.523458898898751	0.698150393576552
-0.11870622388768	-0.184896700456001	0.0805219282065185	-0.267171516953213	-0.400015442428993	-0.0206376056033081	-0.0658837105295005	0.0340829844935861	0.0267325863283654	0.0349516416286502	0.0603526474229081	0.0292411027621119	0.169075054745997	0.361816938561659	0.570002077805231	0.577437334776219	0.479597771451583	0.380996294072637	0.523458898898751	1	0.773338530065144
-0.0738076215688358	-0.156580191561551	0.0483168933847053	-0.266732232931398	-0.30233118496768	-0.0485705010955221	-0.0693971116437937	-0.0588411155963483	-0.0577483998061945	-0.0389099766939613	0.0492823635616902	-0.0387813831243556	0.0698870196064689	0.301207529720436	0.453769910560988	0.445690064395073	0.436659447027308	0.571420852510609	0.698150393576552	0.773338530065144	1
