p_val	avg_log2FC	pct.1	pct.2	p_val_adj	symbol	pct.fc
ENSG00000165323	7.37985142204457e-05	-0.632560255188987	0.01	0.104	1	FAT3	0.0961538461538462
ENSG00000235244	7.61401562466535e-05	-0.943109003737925	0.102	0.27	1	DANT2	0.377777777777778
ENSG00000084207	8.64464930568318e-05	1.18035554624029	0.751	0.809	1	GSTP1	0.928306551297899
ENSG00000227954	8.90634815297159e-05	-0.94475849465163	0.059	0.2	1	TARID	0.295
ENSG00000174373	9.20370812851314e-05	-0.610197369746561	0.195	0.4	1	RALGAPA1	0.4875
ENSG00000169306	9.39685220046281e-05	-1.69336698460056	0.054	0.191	1	IL1RAPL1	0.282722513089005
ENSG00000117318	9.443202413127e-05	-0.656636250388224	0.205	0.417	1	ID3	0.491606714628297
ENSG00000211445	9.44395126827464e-05	1.69743898245919	0.293	0.13	1	GPX3	2.25384615384615
ENSG00000080298	9.54595500800309e-05	-0.678127538219142	0.107	0.278	1	RFX3	0.384892086330935
ENSG00000186468	0.000102538159043025	0.636878012573987	0.844	0.791	1	RPS23	1.06700379266751
ENSG00000187391	0.000124000654332814	-0.984180241199383	0.141	0.322	1	MAGI2	0.437888198757764
ENSG00000228253	0.000127288909401121	-0.642950826390897	0.21	0.426	1	MT-ATP8	0.492957746478873
ENSG00000124172	0.000134779052319343	0.892540205449634	0.761	0.713	1	ATP5F1E	1.06732117812062
ENSG00000188312	0.000138122057692666	-0.76478032473071	0.083	0.235	1	CENPP	0.353191489361702
ENSG00000119778	0.000145482351551886	-0.595140452586663	0.161	0.348	1	ATAD2B	0.46264367816092
ENSG00000169398	0.000147674325050122	-0.662379490639806	0.239	0.47	1	PTK2	0.508510638297872
ENSG00000157654	0.000148503848049698	-0.614959358781242	0.156	0.348	1	PALM2-AKAP2	0.448275862068966
ENSG00000067141	0.000149432132589076	-0.599301694057126	0.127	0.304	1	NEO1	0.417763157894737
ENSG00000172985	0.000162242480664892	-0.749089353164817	0.083	0.235	1	SH3RF3	0.353191489361702
ENSG00000169567	0.000165751620673107	1.05125715388027	0.673	0.696	1	HINT1	0.966954022988506
ENSG00000227220	0.000174268380574153	-0.634627759768458	0.029	0.139	1	AL133346.1	0.20863309352518
ENSG00000021645	0.000184246333650663	-1.26699080668529	0.054	0.183	1	NRXN3	0.295081967213115
ENSG00000125740	0.000214113631981519	-0.814830096075023	0.176	0.365	1	FOSB	0.482191780821918
ENSG00000174482	0.000219891127476127	-0.900202745339343	0.034	0.148	1	LINGO2	0.22972972972973
ENSG00000136942	0.000222960251629235	0.733414575906727	0.82	0.739	1	RPL35	1.10960757780785
ENSG00000188846	0.000238524393289975	0.70040085190918	0.815	0.843	1	RPL14	0.966785290628707
